sample_id	sample_file	batch
Evosep_WLBSC_1144_032224	input\Evosep_WLBSC_1144_032224.raw	1
Evosep_WLBSC_1141_032224	input\Evosep_WLBSC_1141_032224.raw	1
Evosep_WLBSC_1140_032224	input\Evosep_WLBSC_1140_032224.raw	1
Evosep_WLBSC_1132_032224	input\Evosep_WLBSC_1132_032224.raw	1
Evosep_WLBSC_1129_032124	input\Evosep_WLBSC_1129_032124.raw	1
Evosep_WLBSC_1128_032124	input\Evosep_WLBSC_1128_032124.raw	1
Evosep_WLBSC_1126_032124	input\Evosep_WLBSC_1126_032124.raw	1
Evosep_WLBSC_1125_032124	input\Evosep_WLBSC_1125_032124.raw	1
Evosep_WLBSC_1121_032124	input\Evosep_WLBSC_1121_032124.raw	1
Evosep_WLBSC_1118_032124	input\Evosep_WLBSC_1118_032124.raw	1
Evosep_WLBSC_1117_032124	input\Evosep_WLBSC_1117_032124.raw	1
Evosep_WLBSC_1116_032124	input\Evosep_WLBSC_1116_032124.raw	1
Evosep_WLBSC_1112_032124	input\Evosep_WLBSC_1112_032124.raw	1
Evosep_WLBSC_1111_032124	input\Evosep_WLBSC_1111_032124.raw	1
Evosep_WLBSC_1110_032124	input\Evosep_WLBSC_1110_032124.raw	1
Evosep_WLBSC_1108_032124	input\Evosep_WLBSC_1108_032124.raw	1
Evosep_WLBSC_1107_032124	input\Evosep_WLBSC_1107_032124.raw	1
Evosep_WLBSC_1103_032124	input\Evosep_WLBSC_1103_032124.raw	1
Evosep_WLBSC_1100_032124	input\Evosep_WLBSC_1100_032124.raw	1
Evosep_WLBSC_1099_032124	input\Evosep_WLBSC_1099_032124.raw	1
Evosep_WLBSC_1096_032124	input\Evosep_WLBSC_1096_032124.raw	1
Evosep_WLBSC_1094_032124	input\Evosep_WLBSC_1094_032124.raw	1
Evosep_WLBSC_1087_032024	input\Evosep_WLBSC_1087_032024.raw	1
Evosep_WLBSC_1086_032024	input\Evosep_WLBSC_1086_032024.raw	1
Evosep_WLBSC_1085_032024	input\Evosep_WLBSC_1085_032024.raw	1
Evosep_WLBSC_1080_032024	input\Evosep_WLBSC_1080_032024.raw	1
Evosep_WLBSC_1079_032024	input\Evosep_WLBSC_1079_032024.raw	1
Evosep_WLBSC_1076_032024	input\Evosep_WLBSC_1076_032024.raw	1
Evosep_WLBSC_1074_032024	input\Evosep_WLBSC_1074_032024.raw	1
Evosep_WLBSC_1073_032024	input\Evosep_WLBSC_1073_032024.raw	1
Evosep_WLBSC_1071_032024	input\Evosep_WLBSC_1071_032024.raw	1
Evosep_WLBSC_1070_032024	input\Evosep_WLBSC_1070_032024.raw	1
Evosep_WLBSC_1069_032024	input\Evosep_WLBSC_1069_032024.raw	1
Evosep_WLBSC_1068_032024	input\Evosep_WLBSC_1068_032024.raw	1
Evosep_WLBSC_1065_032024	input\Evosep_WLBSC_1065_032024.raw	1
Evosep_WLBSC_1064_032024	input\Evosep_WLBSC_1064_032024.raw	1
