sample_id	sample_file	batch
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_0cells_01_BE3	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_0cells_01_BE3	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_0cells_02_BE5	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_0cells_02_BE5	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_01_BB2	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_01_BB2	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_02_BB3	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_02_BB3	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_03_BB4	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_03_BB4	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_04_BB5	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_04_BB5	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_05_BB6	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_05_BB6	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_06_BB7	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_06_BB7	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_07_BB8	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_07_BB8	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_08_BB9	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_08_BB9	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_09_BB10	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_09_BB10	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_10_BB11	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_10_BB11	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_11_BB12	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_11_BB12	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_12_BB13	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_12_BB13	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_13_BB14	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_13_BB14	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_14_BB15	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_14_BB15	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_15_BB16	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_15_BB16	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_16_BB17	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_16_BB17	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_17_BB18	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_17_BB18	1
