sample_id	sample_file	batch
Library_10_15uM_s1-b2_1_7528	Library_10_15uM_s1-b2_1_7528	1
Library_10_15uM_s1-b2_1_7722	Library_10_15uM_s1-b2_1_7722	3
Library_10_15uM_s1-b2_1_7819	Library_10_15uM_s1-b2_1_7819	4
Library_10_15uM_s2-b2_1_7625	Library_10_15uM_s2-b2_1_7625	2
Library_15_30uM_s1-c2_1_7540	Library_15_30uM_s1-c2_1_7540	1
Library_15_30uM_s1-c2_1_7734	Library_15_30uM_s1-c2_1_7734	3
Library_15_30uM_s1-c2_1_7831	Library_15_30uM_s1-c2_1_7831	4
Library_15_30uM_s2-c2_1_7637	Library_15_30uM_s2-c2_1_7637	2
SC_01_s1-a1_1_7515	SC_01_s1-a1_1_7515	1
SC_01_s1-a1_1_7709	SC_01_s1-a1_1_7709	3
SC_01_s1-a1_1_7806	SC_01_s1-a1_1_7806	4
SC_01_s2-a1_1_7612	SC_01_s2-a1_1_7612	2
SC_02_s1-a2_1_7516	SC_02_s1-a2_1_7516	1
SC_02_s1-a2_1_7710	SC_02_s1-a2_1_7710	3
SC_02_s1-a2_1_7807	SC_02_s1-a2_1_7807	4
SC_02_s2-a2_1_7613	SC_02_s2-a2_1_7613	2
SC_03_s1-a3_1_7517	SC_03_s1-a3_1_7517	1
SC_03_s1-a3_1_7711	SC_03_s1-a3_1_7711	3
SC_03_s1-a3_1_7808	SC_03_s1-a3_1_7808	4
SC_03_s2-a3_1_7614	SC_03_s2-a3_1_7614	2
SC_04_s1-a4_1_7518	SC_04_s1-a4_1_7518	1
SC_04_s1-a4_1_7712	SC_04_s1-a4_1_7712	3
SC_04_s1-a4_1_7809	SC_04_s1-a4_1_7809	4
SC_04_s2-a4_1_7615	SC_04_s2-a4_1_7615	2
SC_05_s1-a5_1_7519	SC_05_s1-a5_1_7519	1
SC_05_s1-a5_1_7713	SC_05_s1-a5_1_7713	3
SC_05_s1-a5_1_7810	SC_05_s1-a5_1_7810	4
SC_05_s2-a5_1_7616	SC_05_s2-a5_1_7616	2
SC_06_s1-a6_1_7520	SC_06_s1-a6_1_7520	1
SC_06_s1-a6_1_7714	SC_06_s1-a6_1_7714	3
SC_06_s1-a6_1_7811	SC_06_s1-a6_1_7811	4
SC_06_s2-a6_1_7617	SC_06_s2-a6_1_7617	2
SC_07_s1-a7_1_7521	SC_07_s1-a7_1_7521	1
SC_07_s1-a7_1_7715	SC_07_s1-a7_1_7715	3
SC_07_s1-a7_1_7812	SC_07_s1-a7_1_7812	4
SC_07_s2-a7_1_7618	SC_07_s2-a7_1_7618	2
SC_08_s1-a8_1_7522	SC_08_s1-a8_1_7522	1
SC_08_s1-a8_1_7716	SC_08_s1-a8_1_7716	3
SC_08_s1-a8_1_7813	SC_08_s1-a8_1_7813	4
SC_08_s2-a8_1_7619	SC_08_s2-a8_1_7619	2
SC_09_s1-a9_1_7523	SC_09_s1-a9_1_7523	1
SC_09_s1-a9_1_7717	SC_09_s1-a9_1_7717	3
SC_09_s1-a9_1_7814	SC_09_s1-a9_1_7814	4
SC_09_s2-a9_1_7620	SC_09_s2-a9_1_7620	2
SC_10_s1-a10_1_7524	SC_10_s1-a10_1_7524	1
SC_10_s1-a10_1_7718	SC_10_s1-a10_1_7718	3
SC_10_s1-a10_1_7815	SC_10_s1-a10_1_7815	4
SC_10_s2-a10_1_7621	SC_10_s2-a10_1_7621	2
SC_11_s1-a11_1_7525	SC_11_s1-a11_1_7525	1
SC_11_s1-a11_1_7719	SC_11_s1-a11_1_7719	3
SC_11_s1-a11_1_7816	SC_11_s1-a11_1_7816	4
SC_11_s2-a11_1_7622	SC_11_s2-a11_1_7622	2
SC_12_s1-a12_1_7526	SC_12_s1-a12_1_7526	1
SC_12_s1-a12_1_7720	SC_12_s1-a12_1_7720	3
SC_12_s1-a12_1_7817	SC_12_s1-a12_1_7817	4
SC_12_s2-a12_1_7623	SC_12_s2-a12_1_7623	2
SC_13_s1-b1_1_7527	SC_13_s1-b1_1_7527	1
SC_13_s1-b1_1_7721	SC_13_s1-b1_1_7721	3
SC_13_s1-b1_1_7818	SC_13_s1-b1_1_7818	4
SC_13_s2-b1_1_7624	SC_13_s2-b1_1_7624	2
SC_14_s1-b3_1_7529	SC_14_s1-b3_1_7529	1
SC_14_s1-b3_1_7723	SC_14_s1-b3_1_7723	3
SC_14_s1-b3_1_7820	SC_14_s1-b3_1_7820	4
SC_14_s2-b3_1_7626	SC_14_s2-b3_1_7626	2
SC_15_s1-b4_1_7530	SC_15_s1-b4_1_7530	1
SC_15_s1-b4_1_7724	SC_15_s1-b4_1_7724	3
SC_15_s1-b4_1_7821	SC_15_s1-b4_1_7821	4
SC_15_s2-b4_1_7627	SC_15_s2-b4_1_7627	2
SC_16_s1-b5_1_7531	SC_16_s1-b5_1_7531	1
SC_16_s1-b5_1_7725	SC_16_s1-b5_1_7725	3
SC_16_s1-b5_1_7822	SC_16_s1-b5_1_7822	4
SC_16_s2-b5_1_7628	SC_16_s2-b5_1_7628	2
SC_17_s1-b6_1_7532	SC_17_s1-b6_1_7532	1
SC_17_s1-b6_1_7726	SC_17_s1-b6_1_7726	3
SC_17_s1-b6_1_7823	SC_17_s1-b6_1_7823	4
SC_17_s2-b6_1_7629	SC_17_s2-b6_1_7629	2
SC_18_s1-b7_1_7533	SC_18_s1-b7_1_7533	1
SC_18_s1-b7_1_7727	SC_18_s1-b7_1_7727	3
SC_18_s1-b7_1_7824	SC_18_s1-b7_1_7824	4
SC_18_s2-b7_1_7630	SC_18_s2-b7_1_7630	2
SC_19_s1-b8_1_7534	SC_19_s1-b8_1_7534	1
SC_19_s1-b8_1_7728	SC_19_s1-b8_1_7728	3
SC_19_s1-b8_1_7825	SC_19_s1-b8_1_7825	4
SC_19_s2-b8_1_7631	SC_19_s2-b8_1_7631	2
SC_20_s1-b9_1_7535	SC_20_s1-b9_1_7535	1
SC_20_s1-b9_1_7729	SC_20_s1-b9_1_7729	3
SC_20_s1-b9_1_7826	SC_20_s1-b9_1_7826	4
SC_20_s2-b9_1_7632	SC_20_s2-b9_1_7632	2
SC_21_s1-b10_1_7536	SC_21_s1-b10_1_7536	1
SC_21_s1-b10_1_7730	SC_21_s1-b10_1_7730	3
SC_21_s1-b10_1_7827	SC_21_s1-b10_1_7827	4
SC_21_s2-b10_1_7633	SC_21_s2-b10_1_7633	2
SC_22_s1-b11_1_7537	SC_22_s1-b11_1_7537	1
SC_22_s1-b11_1_7731	SC_22_s1-b11_1_7731	3
SC_22_s1-b11_1_7828	SC_22_s1-b11_1_7828	4
SC_22_s2-b11_1_7634	SC_22_s2-b11_1_7634	2
SC_23_s1-b12_1_7538	SC_23_s1-b12_1_7538	1
SC_23_s1-b12_1_7732	SC_23_s1-b12_1_7732	3
SC_23_s1-b12_1_7829	SC_23_s1-b12_1_7829	4
SC_23_s2-b12_1_7635	SC_23_s2-b12_1_7635	2
SC_24_s1-c1_1_7539	SC_24_s1-c1_1_7539	1
SC_24_s1-c1_1_7733	SC_24_s1-c1_1_7733	3
SC_24_s1-c1_1_7830	SC_24_s1-c1_1_7830	4
SC_24_s2-c1_1_7636	SC_24_s2-c1_1_7636	2
SC_25_s1-c3_1_7541	SC_25_s1-c3_1_7541	1
SC_25_s1-c3_1_7735	SC_25_s1-c3_1_7735	3
SC_25_s1-c3_1_7832	SC_25_s1-c3_1_7832	4
SC_25_s2-c3_1_7638	SC_25_s2-c3_1_7638	2
SC_26_s1-c4_1_7542	SC_26_s1-c4_1_7542	1
SC_26_s1-c4_1_7736	SC_26_s1-c4_1_7736	3
SC_26_s1-c4_1_7833	SC_26_s1-c4_1_7833	4
SC_26_s2-c4_1_7639	SC_26_s2-c4_1_7639	2
SC_27_s1-c5_1_7543	SC_27_s1-c5_1_7543	1
SC_27_s1-c5_1_7737	SC_27_s1-c5_1_7737	3
SC_27_s1-c5_1_7834	SC_27_s1-c5_1_7834	4
SC_27_s2-c5_1_7640	SC_27_s2-c5_1_7640	2
SC_28_s1-c6_1_7544	SC_28_s1-c6_1_7544	1
SC_28_s1-c6_1_7738	SC_28_s1-c6_1_7738	3
SC_28_s1-c6_1_7835	SC_28_s1-c6_1_7835	4
SC_28_s2-c6_1_7641	SC_28_s2-c6_1_7641	2
SC_29_s1-c7_1_7545	SC_29_s1-c7_1_7545	1
SC_29_s1-c7_1_7739	SC_29_s1-c7_1_7739	3
SC_29_s1-c7_1_7836	SC_29_s1-c7_1_7836	4
SC_29_s2-c7_1_7642	SC_29_s2-c7_1_7642	2
SC_30_s1-c8_1_7546	SC_30_s1-c8_1_7546	1
SC_30_s1-c8_1_7740	SC_30_s1-c8_1_7740	3
SC_30_s1-c8_1_7837	SC_30_s1-c8_1_7837	4
SC_30_s2-c8_1_7643	SC_30_s2-c8_1_7643	2
SC_31_s1-c9_1_7547	SC_31_s1-c9_1_7547	1
SC_31_s1-c9_1_7741	SC_31_s1-c9_1_7741	3
SC_31_s1-c9_1_7838	SC_31_s1-c9_1_7838	4
SC_31_s2-c9_1_7644	SC_31_s2-c9_1_7644	2
SC_32_s1-c10_1_7548	SC_32_s1-c10_1_7548	1
SC_32_s1-c10_1_7742	SC_32_s1-c10_1_7742	3
SC_32_s1-c10_1_7839	SC_32_s1-c10_1_7839	4
SC_32_s2-c10_1_7645	SC_32_s2-c10_1_7645	2
SC_33_s1-c11_1_7549	SC_33_s1-c11_1_7549	1
SC_33_s1-c11_1_7743	SC_33_s1-c11_1_7743	3
SC_33_s1-c11_1_7840	SC_33_s1-c11_1_7840	4
SC_33_s2-c11_1_7646	SC_33_s2-c11_1_7646	2
SC_34_s1-c12_1_7550	SC_34_s1-c12_1_7550	1
SC_34_s1-c12_1_7744	SC_34_s1-c12_1_7744	3
SC_34_s1-c12_1_7841	SC_34_s1-c12_1_7841	4
SC_34_s2-c12_1_7647	SC_34_s2-c12_1_7647	2
SC_35_s1-d1_1_7551	SC_35_s1-d1_1_7551	1
SC_35_s1-d1_1_7745	SC_35_s1-d1_1_7745	3
SC_35_s1-d1_1_7842	SC_35_s1-d1_1_7842	4
SC_35_s2-d1_1_7648	SC_35_s2-d1_1_7648	2
SC_36_s1-d2_1_7552	SC_36_s1-d2_1_7552	1
