sample_id	sample_file	batch
20250305_JI_AF_hexSCP_plate1__trueblank_startplate_S4-H1_1_11149	input\20250305_JI_AF_hexSCP_plate1__trueblank_startplate_S4-H1_1_11149.d	1
20250305_JI_AF_hexSCP_plate1_post300_blank_S3-B12_1_11152	input\20250305_JI_AF_hexSCP_plate1_post300_blank_S3-B12_1_11152.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_2_S4-A8_1_11154	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_2_S4-A8_1_11154.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_3_S4-A9_1_11155	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_3_S4-A9_1_11155.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_4_S4-A10_1_11156	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_4_S4-A10_1_11156.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_1_S4-A1_1_11158	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_1_S4-A1_1_11158.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_2_S4-A2_1_11159	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_2_S4-A2_1_11159.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_3_S4-A3_1_11162	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_3_S4-A3_1_11162.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_4_S4-A4_1_11163	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_4_S4-A4_1_11163.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_5_S4-A5_1_11164	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_5_S4-A5_1_11164.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_6_S4-B7_1_11165	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_6_S4-B7_1_11165.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_7_S4-B8_1_11166	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_7_S4-B8_1_11166.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_8_S4-B9_1_11167	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_8_S4-B9_1_11167.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_9_S4-B10_1_11168	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_9_S4-B10_1_11168.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_10_S4-B11_1_11169	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_10_S4-B11_1_11169.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop1_11_S4-B12_1_11170	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop1_11_S4-B12_1_11170.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_6_S4-B1_1_11171	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_6_S4-B1_1_11171.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_7_S4-B2_1_11172	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_7_S4-B2_1_11172.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_8_S4-B3_1_11173	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_8_S4-B3_1_11173.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_9_S4-B4_1_11174	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_9_S4-B4_1_11174.d	1
20250305_JI_AF_hexSCP_plate1_singlecell_pop2_10_S4-B5_1_11175	input\20250305_JI_AF_hexSCP_plate1_singlecell_pop2_10_S4-B5_1_11175.d	1
